Habitat,Vegetation,Sample ID,Tube Mass (g),Tube + Soil Mass (g),Dry Soil Mass (g),ml water for pH (ml),"ml water for pH (rounded, ml)",total water to be added for WEOC (ml),"total water to be added for WEOC (rounded, ml)",water to be added after pH measurements (ml),GravimetricSoilWaterContent,%Dry Soil that is water,Water mass required to remoisten soil (g),Water volume required to remoisten soil (ml),average NPOC [mg/l],average TNb [mg/l],NPOC,TNb,Cnratio,Total water volume added to dry soil (ml),Total water volume added to dry soil (L),DOC Concentration (mgCperg),TNb Concentration (mgNperg)
Heathland,Bracken,UB1,10.1896,15.5529,5.3633,13.40825,13,21.4532,21,8,134.7800724,1.347800724,7.228659623,7.228659623,317.59333,20.2974,317.59333,20.2974,15.64699327,28.22865962,0.02822866,1.671589136,0.106831317
Heathland,Bracken,UB4,10.2564,15.7024,5.446,13.615,14,21.784,22,8,168.946986,1.68946986,9.200852858,9.200852858,232.68,18.69364,232.68,18.69364,12.44701185,31.20085286,0.031200853,1.333054433,0.107098332
Heathland,Bracken,UB6,10.3608,14.1616,3.8008,9.502,10,15.2032,15,5,197.008891,1.97008891,7.487913929,7.487913929,309.43667,19.29817,309.43667,19.29817,16.03450828,22.48791393,0.022487914,1.830821196,0.114180064
Heathland,Bracken,UB9,10.2611,14.0611,3.8,9.5,10,15.2,15,5,106.0858263,1.060858263,4.031261399,4.031261399,714.9,20.11307,714.9,20.11307,35.54405759,19.0312614,0.019031261,3.580381256,0.100730812
Heathland,Bracken,UB10,10.2139,15.1126,4.8987,12.24675,12,19.5948,20,8,272.53434,2.7253434,13.35063971,13.35063971,394.54,31.70736,394.54,31.70736,12.44316646,33.35063971,0.03335064,2.686051685,0.215865587
Heathland,Non-Bracken,UN1,10.2066,14.5143,4.3077,10.76925,11,17.2308,17,6,218.4525428,2.184525428,9.410280186,9.410280186,453.96667,34.42551,453.96667,34.42551,13.18692768,26.41028019,0.02641028,2.783245572,0.211060974
Heathland,Non-Bracken,UN3,10.2867,14.2314,3.9447,9.86175,10,15.7788,16,6,376.9781682,3.769781682,14.8706578,14.8706578,365.89,12.42126,365.89,12.42126,29.45676189,30.8706578,0.030870658,2.863402789,0.097207004
Heathland,Non-Bracken,UN7,10.2724,14.0829,3.8105,9.52625,10,15.242,15,5,285.4829746,2.854829746,10.87832875,10.87832875,907.16,18.25881,907.16,18.25881,49.68340403,25.87832875,0.025878329,6.160814777,0.124001441
Heathland,Non-Bracken,UN8,10.3193,14.5247,4.2054,10.5135,11,16.8216,17,6,363.7068626,3.637068626,15.2953284,15.2953284,426.66667,13.96533,426.66667,13.96533,30.55184995,32.2953284,0.032295328,3.276582543,0.107246615
Heathland,Non-Bracken,UN10,10.2208,14.4462,4.2254,10.5635,11,16.9016,17,6,229.713453,2.29713453,9.706312243,9.706312243,502.32333,41.01712,502.32333,41.01712,12.24667588,26.70631224,0.026706312,3.17489556,0.259245516
Woodland,Bracken,WB3,10.2058,14.8363,4.6305,11.57625,12,18.522,19,7,123.2887532,1.232887532,5.708885717,5.708885717,230.86,27.92831,230.86,27.92831,8.266165319,24.70888572,0.024708886,1.231895769,0.149028707
Woodland,Bracken,WB4,10.2075,14.4129,4.2054,10.5135,11,16.8216,17,6,198.3379137,1.983379137,8.340902623,8.340902623,318.38,20.67804,318.38,20.67804,15.39701055,25.34090262,0.025340903,1.918494454,0.124601752
Woodland,Bracken,WB6,10.2666,15.0252,4.7586,11.8965,12,19.0344,19,7,110.0017942,1.100017942,5.234545379,5.234545379,187.06,19.92155,187.06,19.92155,9.389831615,24.23454538,0.024234545,0.952657096,0.101456248
Woodland,Bracken,WB7,10.1972,14.0802,3.883,9.7075,10,15.532,16,6,81.93093672,0.819309367,3.181378273,3.181378273,264.21333,21.31896,264.21333,21.31896,12.39335002,19.18137827,0.019181378,1.305170185,0.105312138
Woodland,Bracken,WB8,10.2535,15.0343,4.7808,11.952,12,19.1232,19,7,99.79259428,0.997925943,4.770884347,4.770884347,208.83333,21.29776,208.83333,21.29776,9.805413026,23.77088435,0.023770884,1.038351936,0.105895788
Woodland,Non-Bracken,WN2,10.2451,14.531,4.2859,10.71475,11,17.1436,17,6,190.9945779,1.909945779,8.185836614,8.185836614,472.83667,52.12699,472.83667,52.12699,9.070860732,25.18583661,0.025185837,2.778596588,0.306321163
Woodland,Non-Bracken,WN4,10.28,14.7093,4.4293,11.07325,11,17.7172,18,7,236.0669005,2.360669005,10.45611122,10.45611122,378.99667,35.2369,378.99667,35.2369,10.75567563,28.45611122,0.028456111,2.434870384,0.226380046
Woodland,Non-Bracken,WN5,10.279,15.0377,4.7587,11.89675,12,19.0348,19,7,155.627344,1.55627344,7.405838419,7.405838419,510.74,44.99312,510.74,44.99312,11.35151246,26.40583842,0.026405838,2.834076095,0.249665043
Woodland,Non-Bracken,WN6,10.3602,15.5765,5.2163,13.04075,13,20.8652,21,8,95.47361165,0.954736117,4.980190004,4.980190004,285.32333,22.04095,285.32333,22.04095,12.94514484,25.98019,0.02598019,1.421075154,0.109776675
Woodland,Non-Bracken,WN8,10.2175,15.9121,5.6946,14.2365,14,22.7784,23,9,50.15352685,0.501535269,2.85604274,2.85604274,85.25333,6.41173,85.25333,6.41173,13.29646341,25.85604274,0.025856043,0.387088425,0.029112135
